Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","0.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","0.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","0.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","0.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","0.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","0.17","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","0.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","0.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","0.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","0.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","0.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","0.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","0.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","0.46","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","1.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","1.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","1.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","1.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","2.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","3.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","3.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1982","1982","kg/ha","3.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1983","1983","kg/ha","3.96","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1984","1984","kg/ha","3.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1985","1985","kg/ha","3.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","3.86","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1987","1987","kg/ha","3.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1988","1988","kg/ha","4.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1989","1989","kg/ha","5.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1990","1990","kg/ha","6.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1991","1991","kg/ha","6.37","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1992","1992","kg/ha","6.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1993","1993","kg/ha","6.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1994","1994","kg/ha","5.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1995","1995","kg/ha","2.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","2.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","2.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","2.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","2.64","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2000","2000","kg/ha","2.59","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2001","2001","kg/ha","3.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","2.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","2.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","5.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","5.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","1.66","E","Estimated value",""
