Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1998","1998","kg/ha","6.1371","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1999","1999","kg/ha","5.7661","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2000","2000","kg/ha","5.5601","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2001","2001","kg/ha","5.8741","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2002","2002","kg/ha","5.9592","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2003","2003","kg/ha","6.2191","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2004","2004","kg/ha","6.2246","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2005","2005","kg/ha","6.4819","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2006","2006","kg/ha","6.1836","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2007","2007","kg/ha","6.5331","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2008","2008","kg/ha","6.1941","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2009","2009","kg/ha","6.3701","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2010","2010","kg/ha","6.3991","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2011","2011","kg/ha","6.3348","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2012","2012","kg/ha","6.303","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2013","2013","kg/ha","6.3452","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2014","2014","kg/ha","6.4916","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2015","2015","kg/ha","6.4688","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2016","2016","kg/ha","6.523","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2017","2017","kg/ha","6.5837","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","6.6604","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2019","2019","kg/ha","6.6604","E","Estimated value"
"ESB","Cropland Nutrient Budget","159","Nigeria","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2020","2020","kg/ha","6.6604","E","Estimated value"
